Index,title,revenue,Year,VoteAVG,VoteCT,Popularity,Date,Genre
0,Avengers: Endgame,2800000000,2019,8.3,24055,146.438,2019-04-26,Adventure
1,The Lion King,1663075401,2019,7.1,9402,80.841,2019-07-19,Adventure
2,Frozen II,1450000000,2019,7.3,9121,98.549,2019-11-22,Family
3,Spider-Man: Far From Home,1131927996,2019,7.4,14617,85.298,2019-07-02,Action
4,Captain Marvel,1131416446,2019,6.8,14775,105.741,2019-03-08,Action
5,Joker,1074458282,2019,8.2,23642,84.459,2019-10-04,Crime
6,Star Wars: The Rise of Skywalker,1074144248,2019,6.4,9119,58.711,2019-12-20,Adventure
7,Toy Story 4,1073394593,2019,7.5,9158,71.841,2019-06-21,Family
8,Aladdin,1054304000,2019,7.1,9488,48.728,2019-05-24,Adventure
9,Jumanji: The Next Level,801693929,2019,6.9,8007,61.526,2019-12-13,Adventure
10,Fast & Furious Presents: Hobbs & Shaw,760098996,2019,6.9,6676,83.371,2019-08-02,Action
11,Ne Zha,742500000,2019,7.9,367,20.874,2019-08-29,Animation
12,How to Train Your Dragon: The Hidden World,524580592,2019,7.8,5876,79.024,2019-02-22,Animation
13,Maleficent: Mistress of Evil,491730089,2019,7.3,5745,51.049,2019-10-18,Family
14,It Chapter Two,473122525,2019,6.9,8130,72.74,2019-09-06,Horror
15,Pokémon Detective Pikachu,449762638,2019,7.0,6375,37.094,2019-05-10,Action
16,The Secret Life of Pets 2,429434163,2019,7.0,2811,49.621,2019-06-07,Adventure
17,Alita: Battle Angel,404980543,2019,7.2,8521,53.156,2019-02-14,Action
18,1917,394638258,2019,8.0,11491,51.71,2019-12-25,War
19,Godzilla: King of the Monsters,386600138,2019,6.7,5534,85.136,2019-05-31,Science
20,Once Upon a Time… in Hollywood,374251247,2019,7.4,12359,58.111,2019-07-26,Comedy
21,Shazam!,366080049,2019,7.0,8901,44.376,2019-04-05,Action
22,Dumbo,353284621,2019,6.6,4108,49.884,2019-03-29,Family
23,John Wick: Chapter 3 - Parabellum,326709727,2019,7.4,9822,93.385,2019-05-17,Action
24,Knives Out,312897920,2019,7.8,11294,83.957,2019-11-27,Comedy
25,Terminator: Dark Fate,261119292,2019,6.5,4696,62.346,2019-11-01,Science
26,Parasite,257591776,2019,8.5,16646,92.345,2019-10-11,Comedy
27,Us,256067149,2019,7.0,6865,32.107,2019-03-22,Horror
28,Men in Black: International,253890701,2019,5.9,4520,30.784,2019-06-14,Comedy
29,Dark Phoenix,252442974,2019,6.0,5989,49.33,2019-06-07,Fantasy
30,Glass,246999039,2019,6.7,7859,44.265,2019-01-18,TV Movie
